Date,Deal Type,Chinese Party,Foreign Party,Asset,Therapeutic Area,Stage,Total Value (USD),Upfront (USD),Territory,Modality,Highlights,Source,Source URL
January 2026,licensing-out,Zonsen PepLib Biotech,Novartis,Peptide-based radioligand therapy,Oncology – Radioligand Therapy,Preclinical,Not disclosed,$50M,Worldwide,Peptide,"Novartis paid $50M cash upfront for exclusive worldwide rights to PepLib's peptide-based radioligand therapy, with additional biobucks. Announced at JPM26, this deal reflects Novartis's continued push into the RLT space following its Lutathera/Pluvicto franchise. Notable as a Chinese peptide platform licensing to a big pharma leader in radiopharmaceuticals.",FierceBiotech,https://www.fiercebiotech.com/biotech/fierce-biotechs-jpm26-tracker-day-2
January 2026,newco-spinout,Jiangsu Chia Tai Feng Hai Pharmaceutical,Formation Bio (Kenmare Bio),FHND5032 (miR-124 activator),Immunology – Autoimmune (Ulcerative Colitis),Preclinical,$500M,Not disclosed,Global ex-Greater China,Small Molecule,"AI-fueled Formation Bio continues its 'China shopping spree' via subsidiary Kenmare Bio, licensing an oral miR-124 activator for autoimmune disease from Jiangsu Chia Tai Feng Hai. With few miR-124 activators in development globally, this represents a differentiated mechanism. Formation Bio's model of licensing China assets and spinning out dedicated subsidiaries is an emerging BD trend.",FierceBiotech,https://www.fiercebiotech.com/biotech/formation-bios-china-shopping-spree-continues-500m-biobucks-autoimmune-pact
January 2026,licensing-out,CSPC Pharmaceutical Group,AstraZeneca,SYH2082 and obesity/weight management portfolio (8 programs),Metabolic – Obesity,Phase 1,$18.5B,Not disclosed (up to $1.2B in near-term payments),Global ex-Greater China,Small Molecule,"The largest-ever China out-licensing deal by total potential value. AstraZeneca licensed CSPC's entire weight management portfolio including clinical-ready SYH2082 and 7 additional programs, with $3.5B in R&D milestones and $13.8B in sales milestones plus royalties. This deal signals AstraZeneca's aggressive push into obesity and complements its existing pipeline (elecoglipron, AZD6234) while validating CSPC's platform approach.",FierceBiotech,https://www.fiercebiotech.com/biotech/astrazeneca-returns-chinas-cspc-47b-obesity-deal
January 2026,licensing-out,CSPC Pharmaceutical Group,AstraZeneca,Up to 8 next-generation obesity/weight loss drug programs,Metabolic – Obesity,Preclinical,$18.5B,$1.2B,Global ex-China,Small Molecule,"The largest China out-licensing deal by total value since 2025, AstraZeneca paid $1.2B upfront for access to CSPC's platform and up to eight experimental weight loss medications, with up to $3.5B in R&D milestones and $13.8B in sales milestones plus royalties. The deal hands AstraZeneca a broad obesity portfolio at lower cost than an acquisition (Pfizer paid $10B for Metsera). It builds on existing AZ-CSPC AI collaboration and AZ's $15B China investment pledge.",Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/chinas-cspc-pharmaceutical-inks-deal-with-astrazeneca-weight-loss-therapy-2026-01-30/
January 2026,licensing-out,SciNeuro Pharmaceuticals,Novartis,Antibody treatments for Alzheimer's disease,CNS – Alzheimer's Disease,Preclinical,$1.7B,$165M,Global,Monoclonal Antibody,"SciNeuro Pharmaceuticals signed a landmark $1.7B deal with Novartis to develop antibody treatments for Alzheimer's disease, receiving $165M upfront plus up to $1.5B in milestones and royalties. SciNeuro will collaborate on early-stage development before Novartis takes over clinical testing and global commercialization. This is one of the largest CNS licensing deals involving a Chinese biotech and reflects growing pharma interest in novel Alzheimer's approaches.",Reuters,https://www.reuters.com/legal/transactional/scineuro-novartis-sign-17-billion-licensing-deal-develop-alzheimers-drugs-2026-01-12/
January 2026,co-development,Innovent Biologics,Eli Lilly,Multi-program alliance (cancer and immunological diseases),"Oncology, Immunology",Preclinical,$8.85B,$350M,Global ex-China,Other,"Eli Lilly's seventh collaboration with Innovent Biologics, reflecting deep strategic confidence in the Chinese biotech's pipeline. At $350M upfront with up to $8.5B in milestones, this is one of the largest China out-licensing deals. Innovent leads discovery through clinical proof-of-concept, with Lilly taking over development and commercialization outside China.",BioPharma Dive,https://www.biopharmadive.com/news/lilly-bets-again-on-china-drugs-roche-showcases-ms-data/811669/
January 2026,licensing-out,RemeGen,AbbVie,RC148 (PD-1xVEGF bispecific antibody),Oncology,Not disclosed,$5.6B,$650M,Global ex-China,Bispecific Antibody,"AbbVie paid $650M upfront to RemeGen for ex-China rights to RC148, a PD-1xVEGF bispecific, with up to $4.95B in milestones plus double-digit royalties. This deal marks AbbVie's entry into the highly competitive PD-1xVEGF bispecific space, following Akeso/Summit's ivonescimab lead and multiple Chinese-originated competitors. The $650M upfront is among the largest for a PD-1xVEGF asset.",FierceBiotech,https://www.fiercebiotech.com/biotech/abbvie-pens-56b-pact-remegen-join-pd1xvegf-bispecific-battle
January 2026,licensing-out,CSPC Pharmaceutical Group,Madrigal Pharmaceuticals,Liver disease drug,Hepatology – Liver Disease,Not disclosed,$2B+,Not disclosed,Not disclosed,Small Molecule,Madrigal Pharmaceuticals struck a licensing deal with CSPC that could be worth over $2B if it results in a new drug for a serious form of liver disease. This is notable as Madrigal is known for its MASH drug Rezdiffra and this deal suggests CSPC's pipeline has assets of interest beyond oncology and metabolic diseases.,Reuters,https://www.reuters.com/company/cspc-pharmaceutical-group-ltd/
January 2026,licensing-out,Earendil Labs / Helixon Therapeutics,Sanofi,AI-driven bispecific antibody discovery platform (autoimmune/inflammatory),Immunology – Autoimmune / Inflammatory,Platform,$2.56B,$160M (upfront + near-term),Worldwide,Bispecific Antibody,"Sanofi returned to Earendil Labs (affiliated with China's Helixon Therapeutics) for a second, broader deal applying Earendil's AI-powered discovery platform to generate multiple bispecific autoimmune and inflammatory disease programs. At $2.56B total potential value with $160M near-term, it signals deepening trust in China-linked AI drug discovery. Sanofi will handle all development and worldwide commercialization.",FierceBiotech,https://www.fiercebiotech.com/biotech/sanofis-latest-autoimmune-bispecific-pact-ai-biotech-could-reach-25b
January 2026,licensing-out,Shanghai Henlius Biotech,Eisai,Hansizhuang (lung cancer drug),Oncology – Lung Cancer,Approved,$388.3M,$75M,Japan,Monoclonal Antibody,"Eisai licensed Henlius' anti-PD-1 antibody Hansizhuang (serplulimab) for the Japanese market, paying $75M upfront plus up to $313.3M in milestones. This deal marks a significant licensing of a Chinese PD-1 antibody into a major regulated market and validates Henlius' oncology portfolio for ex-China commercialization.",Reuters,https://www.reuters.com/company/eisai-co-ltd/
January 2026,newco-spinout,Harbour BioMed,Solstice Oncology,HBM4003 (anti-CTLA-4 heavy chain-only antibody),Oncology,Phase 2,$1.1B,$105M (including $50M cash + $5M near-term + $50M equity),Global ex-Greater China,Monoclonal Antibody,"Harbour BioMed co-founded Solstice Oncology to advance HBM4003, a next-gen anti-CTLA-4 HCAb (heavy chain-only antibody), outside Greater China. The unique structure allows Harbour to retain equity in the new company while receiving up to $1.1B in milestones plus royalties. HBM4003 is designed to offer improved safety and efficacy over existing CTLA-4 antibodies like ipilimumab, leveraging Harbour's proprietary HCAb platform.",FierceBiotech,https://www.fiercebiotech.com/biotech/harbour-helps-form-new-biotech-licensing-anti-ctla-4-asset-11b-biobucks-deal
January 2026,partnership,AstraZeneca (China operations),AstraZeneca,$15B investment in China operations,Multiple,Platform,$15B,Not disclosed,China,Other,"AstraZeneca announced a planned $15B investment to strengthen its China ties, including drug manufacturing and R&D, amid a prolonged surge in dealmaking activity between large pharmaceutical companies and Chinese counterparts. This investment signals AZ's deepening commitment to China as both a market and an innovation hub.",BioPharma Dive,https://www.biopharmadive.com/news/astrazeneca-china-biotech-invest-drug-manufacturing/810847/
January 2026,newco-spinout,Lynk Pharmaceuticals,Formation Bio (via subsidiary Bleecker Bio),Next-gen immunology asset (undisclosed),Immunology,Not disclosed,$600M+,Not disclosed,Global ex-China,Small Molecule,"Formation Bio licensed ex-China rights to a next-gen immunology asset from China's Lynk Pharmaceuticals via newly created subsidiary Bleecker Bio, in a deal worth over $600M in biobucks. Lynk received a minority equity stake in Bleecker Bio. This follows Formation's pattern of licensing China-originated assets into dedicated subsidiaries and using AI to accelerate development.",FierceBiotech,https://www.fiercebiotech.com/biotech/formation-bios-china-shopping-spree-continues-500m-biobucks-autoimmune-pact
January 2026,licensing-out,Haisco Pharmaceutical Group,AirNexis,PDE3/4 inhibitor for COPD (lung disease),Respiratory – COPD,Phase 1,Not disclosed,$40M,Global ex-China,Small Molecule,"AirNexis launched with $200M and a clinical-stage PDE3/4 inhibitor licensed from China's Haisco Pharmaceutical Group for COPD. The drug is designed to expand airways and reduce inflammation. Haisco received $40M cash and a 20% equity stake in AirNexis, reflecting the growing trend of Chinese biotechs taking equity in US startups built around their assets.",FierceBiotech,https://www.fiercebiotech.com/biotech/fierce-biotech-fundraising-tracker-26
January 2026,licensing-out,Qyuns Therapeutics,Caldera Therapeutics,CLD-423 (anti-IL-23p19/TL1A bispecific antibody for IBD),Immunology – Inflammatory Bowel Disease,Phase 1,Not disclosed,Not disclosed,Global ex-China,Bispecific Antibody,"Caldera Therapeutics debuted with $112.5M Series A and a bispecific antibody targeting both IL-23p19 and TL1A licensed from China's Qyuns Therapeutics. CLD-423 addresses two of the hottest targets in IBD simultaneously, differentiating from single-target approaches. Already in Phase 1 in healthy volunteers, this deal taps into the massive TL1A wave following Roche's $7B Telavant acquisition and strong Sanofi/Teva duvakitug data.",BioPharma Dive,https://www.biopharmadive.com/news/caldera-biotech-startup-qyuns-ibd-drug-tl1a-il23/809577/
February 2026,licensing-out,Genhouse Bio,Gilead Sciences,GH31 (MAT2A-targeting synthetic lethal therapy),Oncology – Synthetic Lethality / Solid Tumors,Phase 1,$1.5B,$80M,Worldwide,Small Molecule,"Gilead secured global rights to Genhouse Bio's MAT2A-targeting synthetic lethal therapy GH31, paying $80M upfront with up to $1.45B in milestones plus tiered double-digit royalties. The Suzhou-based company had already secured IND clearance in both China and the US. The deal expands Gilead's oncology synthetic lethality strategy as CEO Daniel O'Day said the company approaches dealmaking from 'a position of strength' in 2026.",FierceBiotech,https://www.fiercebiotech.com/biotech/gileads-latest-synthetic-lethal-therapy-comes-15b-deal-chinas-genhouse
February 2026,licensing-out,Suzhou Ribo Life Science,Madrigal Pharmaceuticals,Six preclinical siRNA programs for MASH,Metabolic – MASH / Liver Disease,Preclinical,$4.4B,$60M,Global,siRNA,Madrigal licensed six preclinical siRNA programs from China's Ribo Life Science (via subsidiary Ribocure Pharmaceuticals) to develop next-gen MASH therapies that silence genes driving liver disease progression. The $60M upfront/$4.4B total deal is heavily back-loaded and designed to complement Madrigal's blockbuster Rezdiffra (first FDA-approved MASH drug). Reflects growing Western interest in China's siRNA capabilities beyond ADCs.,FierceBiotech,https://www.fiercebiotech.com/biotech/madrigal-pens-44b-deal-ribos-sirna-programs-latest-rezdiffra-mash-play
February 2026,licensing-out,Innovent Biologics,Eli Lilly,Broad oncology and immunology drug discovery alliance,Oncology / Immunology,Preclinical,$8.85B,$350M,Global ex-China,Other,"Eli Lilly's seventh collaboration with Innovent covers a broad alliance for cancer and immunological diseases. Innovent leads discovery through clinical proof-of-concept, then Lilly takes over development and commercialization outside China. The $350M upfront and up to $8.5B in milestones reflect Lilly's deepening strategic relationship with Innovent, alongside the Takeda and Roche deals also signed in 2025.",BioPharma Dive,https://www.biopharmadive.com/news/lilly-bets-again-on-china-drugs-roche-showcases-ms-data/811669/
February 2026,licensing-out,Helixon Therapeutics (via Earendil Labs),Sanofi,Multiple bispecific autoimmune/inflammatory programs (AI-discovery platform expansion),Immunology – Autoimmune / Inflammatory,Preclinical,$2.56B,$160M (upfront + near-term milestones),Worldwide,Bispecific Antibody,"Sanofi's second deal with Earendil/Helixon applies the AI-driven discovery platform to generate multiple new bispecific antibody candidates for autoimmune and inflammatory diseases. At $160M upfront and up to $2.56B total, this deal is larger than the first April 2025 pact and validates Helixon's AI drug design capabilities. Sanofi has now committed nearly $4.4B in total biobucks to the Earendil/Helixon partnership.",FierceBiotech,https://www.fiercebiotech.com/biotech/sanofis-latest-autoimmune-bispecific-pact-ai-biotech-could-reach-25b
February 2026,licensing-in,Sciwind Biosciences,Pfizer,Ecnoglutide (injectable obesity/diabetes medicine),Metabolic – Obesity / Type 2 Diabetes,Approved (in China for T2D),$495M,Not disclosed,China (exclusive commercialization),Peptide,"Pfizer will pay up to $495M for partial ownership and exclusive China commercialization rights to ecnoglutide from Hangzhou-based Sciwind Biosciences. The drug is already approved in China for Type 2 diabetes with a weight management application accepted by China's regulator. This is an unusual deal where a Western pharma is licensing IN a China-developed asset for the China market, showing Pfizer's commitment to building its obesity franchise domestically.",BioPharma Dive,https://www.biopharmadive.com/news/novo-price-cuts-palvella-gossamer-vanda-pfizer-china/812906/
February 2026,licensing-out,Frontier Biotechnologies,GSK,Two siRNA therapies targeting kidney diseases,Nephrology – Kidney Diseases,Phase 1,$1B,$40M,Worldwide,siRNA,"GSK paid Frontier Biotechnologies $40M upfront for worldwide rights to two siRNA therapies targeting kidney diseases, with up to $963M in milestones plus tiered royalties. One candidate is already in Phase 1 in China, while the other is completing IND-enabling activities. This deal extends GSK's growing siRNA portfolio and reflects the company's aggressive dealmaking under new CEO Luke Miels.",FierceBiotech,https://www.fiercebiotech.com/biotech/gsk-explores-frontiers-sirna-1b-deal-2-drugs-chinese-biotechs
February 2026,licensing-out,Ribo Life Science (via Ribocure Pharmaceuticals),Madrigal Pharmaceuticals,Six preclinical siRNA programs for MASH,Metabolic – MASH/Liver Disease,Preclinical,$4.4B,Not disclosed,Not disclosed,siRNA,"Madrigal licensed six preclinical siRNA programs from China's Ribo Life Science (via Swedish subsidiary Ribocure Pharmaceuticals) in a heavily back-loaded deal worth up to $4.4B. Madrigal aims to develop next-generation siRNA therapies silencing genes implicated in MASH to combine with its blockbuster Rezdiffra. This is Madrigal's second deal with a Chinese biotech, following its $120M CSPC GLP-1 agonist deal in July 2025.",FierceBiotech,https://www.fiercebiotech.com/biotech/madrigal-pens-44b-deal-ribos-sirna-programs-latest-rezdiffra-mash-play
February 2026,licensing-out,Argo Biopharma,Novartis,RNA medicines for cardiovascular diseases (ANGPTL3-targeting),Cardiovascular,Preclinical,Not disclosed (billions in potential milestones),$160M,Not disclosed,Oligonucleotide,"Argo Biopharma expanded its collaboration with Novartis on RNA medicines for cardiovascular diseases, receiving $160M upfront plus Novartis plans to participate in Argo's next financing round. This builds on two previous licensing agreements worth $185M in initial payments from 2025, making Novartis a repeat customer. The deal underscores the growing importance of China-originated RNA therapeutics in cardiometabolic disease.",BioPharma Dive,https://www.biopharmadive.com/news/novartis-argo-licensing-deal-angptl3-rna-china/759101/
February 2026,licensing-out,DartsBio Pharmaceutical,Slate Medicines,SLTE-1009 (anti-PACAP monoclonal antibody for migraine),CNS – Migraine/Headache Disorders,Preclinical,Not disclosed,Not disclosed,Global ex-China,Monoclonal Antibody,"US startup Slate Medicines launched with $130M Series A and a lead monoclonal antibody licensed from Chinese biotech DartsBio Pharmaceutical. SLTE-1009 targets PACAP, a novel mechanism distinct from CGRP-based migraine drugs like those from Eli Lilly and Amgen. Phase 1 testing expected in mid-2026. This deal illustrates the growing trend of US startups being founded specifically around China-originated assets.",BioPharma Dive,https://www.biopharmadive.com/news/slate-medicines-migraine-biotech-pacap-china-dartsbio/812859/
